Sku id,Invoice No.,วันที่,เวลา,รหัสสินค้า,Serial,ชื่อสินค้า,กลุ่มสินค้า,จำนวน,Ratio,ราคา/หน่วย,รวมก่อนลด,ส่วนลด,รวมสุทธิ,ต้นทุนรวม,กำไร,ลูกค้า,พนักงาน,status,หมายเลขประจำเครื่อง
171107329 PMMJdt7rb3fQDd1c0ZfNr8,PS001000889,12/2/17,16:05,8.85001E+12,,สบู่โพรเทคส์ ไทยเทอราพี#มะขาม 130g,Personal Care,2,1,35,70,0,70,52,18,,Admin,A,1
1711242143TzzD8OVFa8ypTsABBkOZ,PS001000889,12/2/17,16:05,8.85175E+12,,มอคโคน่า ทรีโอ-คลาสลิค x27 ซอง,Food,1,1,95,95,0,95,84.1,10.9,,Admin,A,1
f059,PS001000890,12/2/17,16:31,8.85015E+12,,มรกต-น้ำมันปาล์ม 1000cc,Food,1,1,36,36,0,36,28.75,7.25,,Admin,A,1
f041,PS001000890,12/2/17,16:31,8.85004E+12,,แม่ครัว-ซอสหอยนางรม 600cc,Food,1,1,42,42,0,42,38.75,3.25,,Admin,A,1
1711071240 PM0IO8kmNfKqXSMdQXh4q9,PS001000890,12/2/17,16:31,8.85001E+12,,คอลเกต-ยอดนิยม 90g,Personal Care,1,1,28,28,0,28,22,6,,Admin,A,1
1711111059 AMWhuUmt84gjiyxRocklAJ,PS001000890,12/2/17,16:31,8.85193E+12,,บรีส เพาเวอร์ พิเศษ 400g,Personal Care,1,1,25,25,0,25,21.1,3.9,,Admin,A,1
u044,PS001000890,12/2/17,16:31,8.85001E+12,,โพรเทคส์-เจแปนนีสไวท์ชาร์โคล 280g,Personal Care,1,1,50,50,0,50,46,4,,Admin,A,1
f068,PS001000890,12/2/17,16:31,8.85099E+12,,มาม่า-ต้มยำกุ้ง 55g,Food,3,1,6,18,0,18,14.8,3.2,,Admin,A,1
171108937 PMaLumAgClo1B6o8TJwDZT,PS001000891,12/2/17,16:47,8.85025E+12,,อายิโนะโมะโต๊ะ 500g-ผงชูรส,Food,1,1,48,48,0,48,43.5,4.5,,Admin,A,1
f024,PS001000891,12/2/17,16:47,8.85021E+12,,เด็ก-ซีอิ๊วดำ สูตร 5 เจ 940g,Food,2,1,29,58,0,58,49.16,8.84,,Admin,A,1
1711111138 AMilwJbbR2QChLy3RmDhvA,PS001000891,12/2/17,16:47,8.8508E+12,,ใบชาสามม้า #3 80g,Food,1,1,25,25,0,25,20,5,,Admin,A,1
a007,PS001000891,12/2/17,16:47,8.85868E+12,,ตราปู แดง ถุงร้อนใส 6x9 500g,Plastic bags,1,1,37,37,0,37,30,7,,Admin,A,1
f063,PS001000891,12/2/17,16:47,8.85004E+12,,นกพิราบ-ผักกาด ฝาดึง 140g,Food,2,1,19,38,0,38,30,8,,Admin,A,1
f014,PS001000891,12/2/17,16:47,8.85013E+12,,ไมโล-Activ-B โปรโตมอลต์ 600g,Food,1,1,110,110,0,110,89,21,,Admin,A,1
c043,PS001000891,12/2/17,16:47,8.85048E+12,,me-o แมวโต-เปอร์เซีย 400g อาหารแมวมีโอ,Pet,1,1,53,53,0,53,45,8,,Admin,A,1
c027,PS001000891,12/2/17,16:47,8.85048E+12,,me-o เพาซ์ #ทูน่า 80g อาหารแมวมีโอ,Pet,1,1,15,15,0,15,11.25,3.75,,Admin,A,1
c027,PS001000891,12/2/17,16:47,8.85048E+12,,me-o เพาซ์ #ทูน่า 80g อาหารแมวมีโอ,Pet,1,1,15,15,0,15,11.25,3.75,,Admin,A,1
u043,PS001000891,12/2/17,16:47,8.85001E+12,,โพรเทคส์-ไอซ์ซี่ คูล 280g,Personal Care,1,1,50,50,0,50,42.16,7.84,,Admin,A,1
u037,PS001000891,12/2/17,16:47,8.85209E+12,,ตรางู แดง 300g-แป้งเย็น Classic,Personal Care,1,1,55,55,0,55,45,10,,Admin,A,1
171107450 PMIPEU1CwvhPyry8jPRImH,PS001000891,12/2/17,16:47,8.85193E+12,,แชมพูซันซิล ชมพู 140ml,Personal Care,2,1,35,70,0,70,57.6,12.4,,Admin,A,1
171107355 PMBKVub7hObYl6DI3w5G73,PS001000891,12/2/17,16:47,8.85036E+12,,สบู่เดทตอล#ออริจินัล 65g เขียว,Personal Care,2,1,15,30,0,30,21,9,,Admin,A,1
171108738 PMzrEAGTX9J4Js3ELOxXKR,PS001000892,12/2/17,16:49,8.8571E+12,,เทพภักดี น้ำผึ้งเดือนห้า,Food,1,1,220,220,0,220,176,44,,Admin,A,1
171108937 PMaLumAgClo1B6o8TJwDZT,PS001000893,12/2/17,17:12,8.85025E+12,,อายิโนะโมะโต๊ะ 500g-ผงชูรส,Food,1,1,48,48,0,48,43.5,4.5,,Admin,A,1
1712021426aJTCxIYadvHAj9YFzkqG,PS001000893,12/2/17,17:12,8.85025E+12,,รสดี 850g,Food,1,1,100,100,0,100,90,10,,Admin,A,1
f041,PS001000893,12/2/17,17:12,8.85004E+12,,แม่ครัว-ซอสหอยนางรม 600cc,Food,1,1,42,42,0,42,38.75,3.25,,Admin,A,1
f059,PS001000893,12/2/17,17:12,8.85015E+12,,มรกต-น้ำมันปาล์ม 1000cc,Food,2,1,36,72,0,72,57.5,14.5,,Admin,A,1
f029,PS001000893,12/2/17,17:12,8.85055E+12,,ทิพรส-น้ำปลา 700cc,Food,1,1,28,28,0,28,26,2,,Admin,A,1
f057,PS001000893,12/2/17,17:12,8.85025E+12,,อายิโนะโมะโต๊ะ 85g-ผงชูรส,Food,1,1,10,10,0,10,8.75,1.25,,Admin,A,1
